WORD_ID,VOCAB_WORD
0,http
1,list
2,email
3,one
4,get
5,free
6,would
7,people
8,new
9,information
10,like
11,time
12,use
13,mailing
14,please
15,message
16,us
17,click
18,make
19,business
20,also
21,money
22,wrote
23,want
24,work
25,may
26,could
27,address
28,linux
29,even
30,send
31,know
32,first
33,way
34,see
35,need
36,mail
37,world
38,name
39,internet
40,order
41,receive
42,many
43,much
44,think
45,using
46,said
47,web
48,software
49,system
50,home
51,go
52,group
53,https
54,good
55,date
56,spam
57,find
58,well
59,company
60,users
61,subject
62,site
63,take
64,years
65,help
66,best
67,today
68,report
69,phone
70,file
71,government
72,line
73,every
74,right
75,back
76,program
77,still
78,url
79,number
80,used
81,day
82,sent
83,life
84,since
85,call
86,removed
87,service
88,two
89,available
90,without
91,change
92,check
93,made
94,form
95,within
96,credit
97,really
98,million
99,state
100,code
101,offer
102,say
103,irish
104,something
105,un
106,anyone
107,set
108,subscription
109,year
110,online
111,remove
112,problem
113,last
114,never
115,ilug
116,server
117,version
118,better
119,sponsored
120,sure
121,ca
122,link
123,another
124,per
125,give
126,days
127,maintainer
128,received
129,states
130,look
131,listmaster
132,files
133,old
134,future
135,next
136,long
137,going
138,messages
139,companies
140,must
141,easy
142,product
143,de
144,marketing
145,found
146,computer
147,got
148,great
149,wish
150,might
151,support
152,access
153,read
154,security
155,start
156,data
157,case
158,following
159,reply
160,news
161,special
162,try
163,addresses
164,different
165,things
166,page
167,keep
168,network
169,run
170,price
171,search
172,let
173,looking
174,real
175,come
176,save
177,package
178,card
179,ever
180,unsubscribe
181,less
182,united
183,works
184,actually
185,thing
186,month
187,however
188,put
189,part
190,contact
191,user
192,market
193,aug
194,heaven
195,end
196,someone
197,around
198,insurance
199,instead
200,working
201,services
202,legal
203,least
204,sites
205,point
206,yes
207,grants
208,thanks
209,simple
210,build
211,week
212,technology
213,based
214,place
215,windows
216,public
217,though
218,little
219,error
220,systems
221,times
222,programs
223,complete
224,lot
225,website
226,probably
227,products
228,able
229,welcome
230,visit
231,fax
232,perl
233,anything
234,course
235,simply
236,always
237,else
238,already
239,high
240,full
241,cost
242,hours
243,mailto
244,getting
245,cash
246,making
247,open
248,cd
249,account
250,rates
251,source
252,running
253,possible
254,dollars
255,including
256,problems
257,include
258,pay
259,sep
260,current
261,info
262,interest
263,personal
264,small
265,top
266,seems
267,provide
268,country
269,low
270,financial
271,buy
272,show
273,fact
274,example
275,orders
276,geek
277,etc
278,box
279,rpm
280,stuff
281,american
282,add
283,receiving
284,yet
285,done
286,tell
287,months
288,c
289,signature
290,says
291,everything
292,nothing
293,person
294,exmh
295,enough
296,e
297,big
298,family
299,rights
300,opportunity
301,fill
302,copy
303,changes
304,three
305,format
306,hard
307,offers
308,thinkgeek
309,others
310,issue
311,sales
312,trying
313,investment
314,release
315,total
316,job
317,rate
318,pgp
319,results
320,trade
321,experience
322,maybe
323,text
324,via
325,income
326,city
327,seen
328,communications
329,reports
330,america
331,general
332,idea
333,type
334,several
335,original
336,plus
337,value
338,large
339,either
340,true
341,yahoo
342,directory
343,rather
344,mime
345,away
346,install
347,groups
348,database
349,r
350,important
351,law
352,power
353,become
354,matthias
355,policy
356,stop
357,links
358,called
359,feel
360,bit
361,august
362,believe
363,development
364,guide
365,note
366,sell
367,razor
368,process
369,act
370,write
371,currently
372,response
373,needs
374,allow
375,kernel
376,remember
377,learn
378,question
379,key
380,thought
381,bad
382,purchase
383,folder
384,added
385,questions
386,sending
387,kind
388,thank
389,often
390,second
391,increase
392,september
393,required
394,test
395,president
396,ago
397,makes
398,jul
399,july
400,thousands
401,guaranteed
402,risk
403,return
404,control
405,mailings
406,global
407,past
408,application
409,international
